block_num	regime_num	exp_num	status	timestamp	sub_task	agent_pos	observation_space	steps	reward	seed	agent_dir	worker	source	action_space	task_name
0	0	0	DONE	20200922T230033.029588	0	[3 3]	Dict(image:Box(7, 7, 3))	62	0.44199999999999995	13982653	0	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	1	DONE	20200922T230033.342145	0	[3 3]	Dict(image:Box(7, 7, 3))	68	0.3879999999999999	3487907691	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	2	DONE	20200922T230033.596678	0	[3 3]	Dict(image:Box(7, 7, 3))	69	0.379	378450416	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	3	DONE	20200922T230033.955678	0	[2 1]	Dict(image:Box(7, 7, 3))	100	0	2797569096	2	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	4	DONE	20200922T230034.006704	0	[3 3]	Dict(image:Box(7, 7, 3))	9	0.919	2303691174	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	5	DONE	20200922T230034.055707	0	[3 3]	Dict(image:Box(7, 7, 3))	11	0.901	4188068054	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	6	DONE	20200922T230034.227715	0	[3 3]	Dict(image:Box(7, 7, 3))	65	0.4149999999999999	3757160709	0	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	7	DONE	20200922T230034.448259	0	[3 3]	Dict(image:Box(7, 7, 3))	48	0.5680000000000001	62682709	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	8	DONE	20200922T230034.698259	0	[1 1]	Dict(image:Box(7, 7, 3))	100	0	3860267756	2	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	9	DONE	20200922T230034.794814	0	[3 3]	Dict(image:Box(7, 7, 3))	32	0.712	232807031	0	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	10	DONE	20200922T230034.849814	0	[3 3]	Dict(image:Box(7, 7, 3))	15	0.865	902701550	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	11	DONE	20200922T230035.054814	0	[3 3]	Dict(image:Box(7, 7, 3))	38	0.6579999999999999	1479059454	0	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	12	DONE	20200922T230035.119815	0	[3 3]	Dict(image:Box(7, 7, 3))	20	0.82	3577490876	0	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	13	DONE	20200922T230035.356812	0	[3 3]	Dict(image:Box(7, 7, 3))	97	0.127	2099735613	0	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	14	DONE	20200922T230035.414850	0	[3 3]	Dict(image:Box(7, 7, 3))	15	0.865	234674954	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	15	DONE	20200922T230035.757848	0	[1 3]	Dict(image:Box(7, 7, 3))	100	0	2852796000	0	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	16	DONE	20200922T230035.828850	0	[3 3]	Dict(image:Box(7, 7, 3))	22	0.802	4152886546	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	17	DONE	20200922T230035.864848	0	[3 3]	Dict(image:Box(7, 7, 3))	7	0.9369999999999999	969226395	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
0	0	18	DONE	20200922T230036.019848	0	[3 3]	Dict(image:Box(7, 7, 3))	56	0.4959999999999999	2734466180	1	env-0	NEXT	Discrete(7)	minigridkit_minigridkit_minigrid5x5
