perf_recovery	perf_maintenance	forward_transfer	backward_transfer	ste_rel_perf	sample_efficiency
0.0	-2.080127844865436	0.71	-0.022838910209510406	1.1028740497958955	0.7075395823035062

task_name	perf_recovery	perf_maintenance	forward_transfer	backward_transfer	ste_rel_perf	sample_efficiency
task1	0.0	-5.620295599046361	[nan, 0.83, 0.71]	[nan, 0.02, 0.0]	0.9392171506970474	0.7001368780185359
task2	0.0	-2.080127844865436	[nan, nan, 0.53]	[-0.02, nan, 0.01]	1.1028740497958955	0.7075395823035062
task3	0.0	1.6681594772302368	[nan, nan, nan]	[-0.04, -0.02, nan]	1.1988080594858352	0.7086476900734398

regime_num	block_num	block_type	task_name	task_params	saturation	eps_to_sat	term_perf	eps_to_term_perf
0	0	test	task1	"{""name"": ""task1"", ""m..."	2.5	0.0	2.5	19.0
1	0	test	task2	"{""name"": ""task2"", ""m..."	2.5	0.0	2.5	19.0
2	0	test	task3	"{""name"": ""task3"", ""m..."	2.5	0.0	2.5	19.0
3	1	train	task1	"{""name"": ""task1"", ""m..."	82.98817134925922	99.0	83.1821805004812	95.0
4	2	test	task1	"{""name"": ""task1"", ""m..."	85.2076548958575	0.0	85.2076548958575	19.0
5	2	test	task2	"{""name"": ""task2"", ""m..."	26.3795695843616	0.0	26.3795695843616	19.0
6	2	test	task3	"{""name"": ""task3"", ""m..."	14.624417672730598	0.0	14.624417672730598	19.0
7	3	train	task2	"{""name"": ""task2"", ""m..."	89.31328941892913	99.0	89.43951318553678	95.0
8	4	test	task1	"{""name"": ""task1"", ""m..."	76.75543020568692	0.0	76.75543020568692	19.0
9	4	test	task2	"{""name"": ""task2"", ""m..."	90.75195473037445	0.0	90.75195473037445	19.0
10	4	test	task3	"{""name"": ""task3"", ""m..."	47.556422832850906	0.0	47.556422832850906	19.0
11	5	train	task3	"{""name"": ""task3"", ""m..."	93.37462343038166	99.0	93.45460953830418	95.0
12	6	test	task1	"{""name"": ""task1"", ""m..."	64.42702285776011	0.0	64.42702285776011	19.0
13	6	test	task2	"{""name"": ""task2"", ""m..."	81.40685434467375	0.0	81.40685434467375	19.0
14	6	test	task3	"{""name"": ""task3"", ""m..."	94.28411500348551	0.0	94.28411500348551	19.0
15	7	train	task1	"{""name"": ""task1"", ""m..."	95.92677925926142	99.0	95.97662329758892	95.0
16	8	test	task1	"{""name"": ""task1"", ""m..."	96.4926890573921	0.0	96.4926890573921	19.0
17	8	test	task2	"{""name"": ""task2"", ""m..."	88.28310321606867	0.0	88.28310321606867	19.0
18	8	test	task3	"{""name"": ""task3"", ""m..."	95.51941286754492	0.0	95.51941286754492	19.0
19	9	train	task2	"{""name"": ""task2"", ""m..."	98.81525441609317	99.0	98.82997254970444	95.0
20	10	test	task1	"{""name"": ""task1"", ""m..."	94.28411500348558	0.0	94.28411500348558	19.0
21	10	test	task2	"{""name"": ""task2"", ""m..."	98.98207548975613	0.0	98.98207548975613	19.0
22	10	test	task3	"{""name"": ""task3"", ""m..."	97.85754618703434	0.0	97.85754618703434	19.0
23	11	train	task3	"{""name"": ""task3"", ""m..."	99.79307789953955	99.0	99.7956615328922	95.0
24	12	test	task1	"{""name"": ""task1"", ""m..."	90.75195473037478	0.0	90.75195473037478	19.0
25	12	test	task2	"{""name"": ""task2"", ""m..."	97.8575461870343	0.0	97.8575461870343	19.0
26	12	test	task3	"{""name"": ""task3"", ""m..."	99.82234501709186	0.0	99.82234501709186	19.0
27	13	train	task1	"{""name"": ""task1"", ""m..."	99.0760710037691	99.0	99.08756452612218	95.0
28	14	test	task1	"{""name"": ""task1"", ""m..."	99.20632314540028	0.0	99.20632314540028	19.0
29	14	test	task2	"{""name"": ""task2"", ""m..."	98.6948940697644	0.0	98.6948940697644	19.0
30	14	test	task3	"{""name"": ""task3"", ""m..."	99.8616142721754	0.0	99.8616142721754	19.0
31	15	train	task2	"{""name"": ""task2"", ""m..."	99.87444270073753	99.0	99.87601106970001	95.0
32	16	test	task1	"{""name"": ""task1"", ""m..."	98.69489406976452	0.0	98.69489406976452	19.0
33	16	test	task2	"{""name"": ""task2"", ""m..."	99.8922081657999	0.0	99.8922081657999	19.0
34	16	test	task3	"{""name"": ""task3"", ""m..."	99.93460672455905	0.0	99.93460672455905	19.0
35	17	train	task3	"{""name"": ""task3"", ""m..."	99.99374502289851	99.0	99.99382320351987	95.0
36	18	test	task1	"{""name"": ""task1"", ""m..."	97.85754618703452	0.0	97.85754618703452	19.0
37	18	test	task2	"{""name"": ""task2"", ""m..."	99.77194549831415	0.0	99.77194549831415	19.0
38	18	test	task3	"{""name"": ""task3"", ""m..."	99.99463054023266	0.0	99.99463054023266	19.0
