block_num	regime_num	exp_num	status	timestamp	seed	sub_task	worker	action_space	steps	agent_dir	observation_space	task_name	source	agent_pos	reward
0	0	0	DONE	20200922T225905.540286	131768217	0	env-0	Discrete(7)	9	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.919
0	0	1	DONE	20200922T225905.613284	316958323	0	env-0	Discrete(7)	19	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.829
0	0	2	DONE	20200922T225905.673285	3271422846	0	env-0	Discrete(7)	19	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.829
0	0	3	DONE	20200922T225905.892286	3363095993	0	env-0	Discrete(7)	88	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.20799999999999996
0	0	4	DONE	20200922T225906.064822	4021055985	0	env-0	Discrete(7)	62	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.44199999999999995
0	0	5	DONE	20200922T225906.291822	1161583649	0	env-0	Discrete(7)	46	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.586
0	0	6	DONE	20200922T225906.346823	793937359	0	env-0	Discrete(7)	15	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.865
0	0	7	DONE	20200922T225906.611846	2465798609	0	env-0	Discrete(7)	100	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[2 1]	0
0	0	8	DONE	20200922T225906.718848	1919446532	0	env-0	Discrete(7)	36	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.6759999999999999
0	0	9	DONE	20200922T225907.044846	4207008460	0	env-0	Discrete(7)	100	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[2 1]	0
0	0	10	DONE	20200922T225907.298844	420069660	0	env-0	Discrete(7)	100	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[2 2]	0
0	0	11	DONE	20200922T225907.609844	3867241980	0	env-0	Discrete(7)	87	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.21699999999999997
0	0	12	DONE	20200922T225907.728877	1950268784	0	env-0	Discrete(7)	42	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.622
0	0	13	DONE	20200922T225907.828876	2320461082	0	env-0	Discrete(7)	36	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.6759999999999999
0	0	14	DONE	20200922T225907.934878	3631687764	0	env-0	Discrete(7)	35	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.685
0	0	15	DONE	20200922T225908.106878	1947416741	0	env-0	Discrete(7)	27	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.757
0	0	16	DONE	20200922T225908.160875	3366741701	0	env-0	Discrete(7)	14	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.874
0	0	17	DONE	20200922T225908.216882	2071242224	0	env-0	Discrete(7)	17	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.847
0	0	18	DONE	20200922T225908.465878	346448054	0	env-0	Discrete(7)	100	3	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[1 2]	0
0	0	19	DONE	20200922T225908.763913	147128850	0	env-0	Discrete(7)	82	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.262
0	0	20	DONE	20200922T225908.834912	3553365449	0	env-0	Discrete(7)	22	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.802
0	0	21	DONE	20200922T225908.907912	1064147189	0	env-0	Discrete(7)	24	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.784
0	0	22	DONE	20200922T225908.980911	2928559536	0	env-0	Discrete(7)	22	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.802
0	0	23	DONE	20200922T225909.040913	2928206152	0	env-0	Discrete(7)	14	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.874
0	0	24	DONE	20200922T225909.162954	3782322326	0	env-0	Discrete(7)	44	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.604
0	0	25	DONE	20200922T225909.530952	2403319877	0	env-0	Discrete(7)	100	2	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[1 1]	0
0	0	26	DONE	20200922T225909.595994	1119002929	0	env-0	Discrete(7)	17	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.847
0	0	27	DONE	20200922T225909.773992	305611033	0	env-0	Discrete(7)	59	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.469
0	0	28	DONE	20200922T225910.130538	3421450398	0	env-0	Discrete(7)	100	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[2 3]	0
0	0	29	DONE	20200922T225910.263538	2174504078	0	env-0	Discrete(7)	49	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.5589999999999999
0	0	30	DONE	20200922T225910.334539	881916749	0	env-0	Discrete(7)	22	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.802
0	0	31	DONE	20200922T225910.532446	3585248442	0	env-0	Discrete(7)	56	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.4959999999999999
0	0	32	DONE	20200922T225910.620445	4293932816	0	env-0	Discrete(7)	24	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.784
0	0	33	DONE	20200922T225910.839497	1879512027	0	env-0	Discrete(7)	36	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.6759999999999999
0	0	34	DONE	20200922T225911.055497	1846499355	0	env-0	Discrete(7)	71	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.361
0	0	35	DONE	20200922T225911.158522	1281498355	0	env-0	Discrete(7)	32	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.712
0	0	36	DONE	20200922T225911.334525	4127140911	0	env-0	Discrete(7)	58	1	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.478
0	0	37	DONE	20200922T225911.655538	1082835811	0	env-0	Discrete(7)	88	0	Dict(image:Box(7, 7, 3))	minigridkit_minigridkit_minigrid5x5	NEXT	[3 3]	0.20799999999999996
