	block_num	block_type	task_name	regime_num	saturation	eps_to_sat	term_perf	eps_to_term_perf	recovery_time	maintenance_val	perf_maintenance	forward_transfer	backward_transfer	ste_rel_perf	se_saturation	se_eps_to_sat	sample_efficiency	max_value
0	0	train	minigrid5x5	0	0.9535059999999999	994.0	0.9527688999999999	950.0						1.0148413783308776	1.0034475863738253	0.9849094567404426	0.9883050171629526	0.955
1	1	test	minigrid5x5	1	0.955	79.0	0.9549347826086956	95.0										0.955
2	1	test	minigrid6x6	2	0.9556250000000003	45.0	0.9519062500000001	95.0										0.95625
3	1	test	minigrid8x8	3	0.9528906250000001	82.0	0.9482968749999999	95.0										0.961328125
4	2	train	minigrid6x6	4	0.9527500000000002	821.0	0.94981375	950.0	No Recovery									0.95625
5	3	test	minigrid5x5	5	0.955	0.0	0.9540521739130433	95.0		0.0012832739130433923			0.9990757392947389					0.955
6	3	test	minigrid6x6	6	0.95625	46.0	0.9546732954545455	95.0										0.95625
7	3	test	minigrid8x8	7	0.9593838778409091	91.0	0.9586487926136362	95.0				1.010916325769434						0.961328125
8	4	train	minigrid8x8	8	0.9548242187500002	249.0	0.9522034375000001	950.0	0									0.961328125
9	5	test	minigrid5x5	9	0.954142857142857	87.0	0.9538979591836731	95.0		0.001129059183673231	0.0012061665483583117							0.955
10	5	test	minigrid6x6	10	0.9537500000000003	8.0	0.9515156250000002	95.0		0.0017018750000001859	0.0017018750000001859		0.996692407266884					0.95625
11	5	test	minigrid8x8	11	0.9568080357142855	80.0	0.9515262276785712	95.0										0.961328125
