timestamp	phase	worker	class_name	block	seed	task	sub_task	steps	termination_status	source	agent_dir	agent_pos	reward	action_space	observation_space
20200225T180100.969804	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	234088026	1300	0	146	DONE	NEXT	0	[7 7]	0.5944444444444444	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180105.577780	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	4054919743	1303	0	324	DONE	NEXT	1	[7 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180108.325674	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	943264015	1305	0	283	DONE	NEXT	1	[7 7]	0.2138888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180109.571493	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3304455547	1307	0	54	DONE	NEXT	1	[7 7]	0.85	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180113.142313	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1509167838	1308	0	324	DONE	NEXT	2	[1 2]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180116.916949	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	15807240	1310	0	324	DONE	NEXT	2	[6 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180120.837612	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1821213316	1312	0	324	DONE	NEXT	0	[5 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180124.830019	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1973006652	1314	0	324	DONE	NEXT	1	[3 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180128.605300	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2027250335	1316	0	324	DONE	NEXT	1	[2 6]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180131.651777	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2979287497	1318	0	324	DONE	NEXT	0	[6 3]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180138.445437	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	274115487	1320	0	324	DONE	NEXT	3	[5 3]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180144.216834	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3491646184	1322	0	324	DONE	NEXT	2	[2 2]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180150.458001	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2548772873	1324	0	280	DONE	NEXT	1	[7 7]	0.2222222222222222	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180159.016444	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1484123076	1327	0	324	DONE	NEXT	0	[3 6]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180204.514496	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2024308502	1329	0	324	DONE	NEXT	2	[3 7]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180212.710360	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2570591453	1331	0	324	DONE	NEXT	2	[6 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180215.641996	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2700535689	1333	0	303	DONE	NEXT	1	[7 7]	0.15833333333333333	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180220.328507	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	534877336	1336	0	324	DONE	NEXT	2	[1 5]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180225.801312	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2635823211	1339	0	324	DONE	NEXT	0	[2 4]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180228.948999	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	240382092	1341	0	324	DONE	NEXT	3	[3 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180233.320997	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2181884582	1343	0	324	DONE	NEXT	3	[5 2]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180237.407845	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	125391735	1347	0	324	DONE	NEXT	1	[2 3]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180237.868111	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3853189886	1349	0	70	DONE	NEXT	1	[7 7]	0.8055555555555556	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180238.087801	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	4246789823	1351	0	41	DONE	NEXT	0	[7 7]	0.8861111111111111	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180241.950113	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3860412504	1352	0	324	DONE	NEXT	3	[2 7]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180242.242858	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2356973257	1356	0	98	DONE	NEXT	1	[7 7]	0.7277777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180245.561937	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3599890089	1358	0	308	DONE	NEXT	0	[7 7]	0.14444444444444438	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180245.729011	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3646608795	1360	0	34	DONE	NEXT	0	[7 7]	0.9055555555555556	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180248.140328	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1560892051	1361	0	263	DONE	NEXT	1	[7 7]	0.2694444444444444	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180253.399209	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3883497973	1363	0	324	DONE	NEXT	0	[6 4]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180253.550748	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1127252699	1366	0	43	DONE	NEXT	1	[7 7]	0.8805555555555555	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180258.325465	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2049007915	1367	0	324	DONE	NEXT	3	[4 3]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180300.520493	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2935889600	1370	0	324	DONE	NEXT	0	[3 3]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180302.089553	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	950998703	1373	0	92	DONE	NEXT	1	[7 7]	0.7444444444444445	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180302.331368	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1942306523	1374	0	35	DONE	NEXT	1	[7 7]	0.9027777777777778	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180306.443416	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	4005787090	1375	0	324	DONE	NEXT	2	[4 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180307.292073	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2368612004	1378	0	150	DONE	NEXT	1	[7 7]	0.5833333333333333	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180309.968587	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1266698029	1379	0	206	DONE	NEXT	1	[7 7]	0.4277777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180311.884817	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	4216025999	1381	0	133	DONE	NEXT	0	[7 7]	0.6305555555555555	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180314.184164	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1183739307	1382	0	160	DONE	NEXT	1	[7 7]	0.5555555555555556	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180316.438679	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2351610846	1384	0	171	DONE	NEXT	1	[7 7]	0.5249999999999999	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180318.968354	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2190774847	1385	0	199	DONE	NEXT	1	[7 7]	0.4472222222222223	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180319.664027	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3922454881	1387	0	118	DONE	NEXT	1	[7 7]	0.6722222222222223	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180324.214210	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3635629916	1389	0	324	DONE	NEXT	2	[3 4]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180324.621616	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1241564321	1392	0	60	DONE	NEXT	1	[7 7]	0.8333333333333334	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180329.957553	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1744825354	1394	0	324	DONE	NEXT	0	[5 5]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180330.409988	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3280212719	1397	0	77	DONE	NEXT	1	[7 7]	0.7861111111111111	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180334.925382	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3066234242	1398	0	324	DONE	NEXT	2	[7 2]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180337.743262	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2245597167	1401	0	139	DONE	NEXT	1	[7 7]	0.6138888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180338.008942	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	673264013	1403	0	45	DONE	NEXT	1	[7 7]	0.875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180340.692255	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1720550874	1404	0	324	DONE	NEXT	0	[4 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180342.589511	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	4135111967	1406	0	43	DONE	NEXT	1	[7 7]	0.8805555555555555	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180345.376500	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2870684451	1407	0	324	DONE	NEXT	2	[7 2]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180347.192446	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3110826681	1411	0	65	DONE	NEXT	1	[7 7]	0.8194444444444444	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180350.098598	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1459197673	1413	0	231	DONE	NEXT	1	[7 7]	0.3583333333333334	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180350.480588	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2752282771	1414	0	80	DONE	NEXT	1	[7 7]	0.7777777777777778	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180353.070593	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3076676968	1416	0	181	DONE	NEXT	1	[7 7]	0.4972222222222221	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180355.489372	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3960565556	1418	0	232	DONE	NEXT	1	[7 7]	0.3555555555555556	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180358.070607	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2630210447	1420	0	271	DONE	NEXT	1	[7 7]	0.24722222222222212	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180400.237849	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1168491495	1423	0	83	DONE	NEXT	1	[7 7]	0.7694444444444444	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180400.721065	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2814778517	1424	0	69	DONE	NEXT	1	[7 7]	0.8083333333333333	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180402.560164	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2436209862	1426	0	74	DONE	NEXT	1	[7 7]	0.7944444444444445	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180403.085231	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3659372420	1427	0	97	DONE	NEXT	0	[7 7]	0.7305555555555556	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180404.863620	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3516183067	1428	0	117	DONE	NEXT	1	[7 7]	0.675	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180405.444426	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	501430594	1431	0	159	DONE	NEXT	1	[7 7]	0.5583333333333333	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180407.085000	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3017144488	1432	0	92	DONE	NEXT	1	[7 7]	0.7444444444444445	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180409.396889	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2856298271	1435	0	163	DONE	NEXT	1	[7 7]	0.5472222222222223	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180412.945926	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	343144532	1436	0	324	DONE	NEXT	0	[7 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180414.508928	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	750858367	1438	0	49	DONE	NEXT	1	[7 7]	0.8638888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180417.375851	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2853483159	1439	0	324	DONE	NEXT	2	[4 4]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180418.724310	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3980453898	1441	0	57	DONE	NEXT	1	[7 7]	0.8416666666666667	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180421.062538	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3085939691	1443	0	206	DONE	NEXT	1	[7 7]	0.4277777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180423.520060	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2923190460	1445	0	324	DONE	NEXT	0	[4 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180427.688845	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1403114245	1447	0	324	DONE	NEXT	1	[5 3]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180430.718235	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	504578166	1449	0	324	DONE	NEXT	1	[4 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180434.126923	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1319860269	1451	0	250	DONE	NEXT	0	[7 7]	0.3055555555555556	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180434.654916	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3062788718	1456	0	152	DONE	NEXT	1	[7 7]	0.5777777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180438.444277	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	966768777	1457	0	324	DONE	NEXT	3	[5 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180442.712320	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2479176556	1461	0	324	DONE	NEXT	2	[3 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180443.371799	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	909520587	1464	0	83	DONE	NEXT	0	[7 7]	0.7694444444444444	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180445.370009	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3921731268	1465	0	102	DONE	NEXT	0	[7 7]	0.7166666666666667	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180446.061907	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	369602845	1467	0	156	DONE	NEXT	1	[7 7]	0.5666666666666667	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180450.444897	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3059347511	1468	0	259	DONE	NEXT	1	[7 7]	0.28055555555555556	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180452.808962	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2040219015	1471	0	227	DONE	NEXT	1	[7 7]	0.36944444444444446	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180455.094265	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3863662387	1472	0	157	DONE	NEXT	0	[7 7]	0.5638888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180456.088148	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2169481320	1475	0	164	DONE	NEXT	1	[7 7]	0.5444444444444444	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180500.612942	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2094120829	1477	0	261	DONE	NEXT	1	[7 7]	0.2749999999999999	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180502.720294	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2932074812	1479	0	193	DONE	NEXT	1	[7 7]	0.4638888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180502.884376	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1881843010	1481	0	37	DONE	NEXT	1	[7 7]	0.8972222222222223	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180503.021837	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3544289313	1482	0	33	DONE	NEXT	1	[7 7]	0.9083333333333333	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180503.563974	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3102117882	1484	0	58	DONE	NEXT	1	[7 7]	0.8388888888888889	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180507.776083	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	297817522	1485	0	263	DONE	NEXT	1	[7 7]	0.2694444444444444	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180508.093313	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	515022228	1487	0	74	DONE	NEXT	1	[7 7]	0.7944444444444445	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180508.393617	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3528438186	1489	0	54	DONE	NEXT	1	[7 7]	0.85	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180510.404945	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	4186896929	1490	0	96	DONE	NEXT	0	[7 7]	0.7333333333333334	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180514.144330	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1536727163	1491	0	324	DONE	NEXT	1	[4 5]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180519.337458	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1748568741	1493	0	237	DONE	NEXT	1	[7 7]	0.3416666666666667	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180523.196032	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	636231573	1496	0	324	DONE	NEXT	0	[7 7]	0.09999999999999998	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180525.780496	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3597999475	1501	0	168	DONE	NEXT	1	[7 7]	0.5333333333333333	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180531.191458	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1015876804	1504	0	321	DONE	NEXT	0	[7 7]	0.10833333333333339	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180534.899500	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2657641416	1505	0	324	DONE	NEXT	1	[3 4]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180535.181427	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2003267952	1508	0	45	DONE	NEXT	1	[7 7]	0.875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180537.227079	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1674377699	1509	0	118	DONE	NEXT	1	[7 7]	0.6722222222222223	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180542.987382	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1537729375	1511	0	324	DONE	NEXT	1	[7 4]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180543.261125	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	917103870	1514	0	47	DONE	NEXT	0	[7 7]	0.8694444444444445	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180545.936334	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2882007578	1516	0	279	DONE	NEXT	1	[7 7]	0.22499999999999998	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180547.637099	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	3809649914	1517	0	85	DONE	NEXT	0	[7 7]	0.7638888888888888	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180548.642119	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	65173363	1519	0	152	DONE	NEXT	0	[7 7]	0.5777777777777777	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180550.329371	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	2912346262	1522	0	64	DONE	NEXT	1	[7 7]	0.8222222222222222	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180550.756676	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	748358084	1524	0	77	DONE	NEXT	1	[7 7]	0.7861111111111111	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180553.044574	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	4039137405	1526	0	174	DONE	NEXT	1	[7 7]	0.5166666666666666	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180555.320835	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1033365809	1528	0	125	DONE	NEXT	1	[7 7]	0.6527777777777778	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180557.730556	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	1779819649	1529	0	305	DONE	NEXT	0	[7 7]	0.1527777777777778	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T180559.993439	2.train	env-0	minigridkit_minigridkit_minigridsimplecrossing	4	275465935	1532	0	159	DONE	NEXT	0	[7 7]	0.5583333333333333	Discrete(7)	Dict(image:Box(7, 7, 3))
