timestamp	phase	worker	class_name	block	seed	task	sub_task	steps	termination_status	source	agent_dir	agent_pos	reward	action_space	observation_space
20200225T175813.644671	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1116635243	1	0	87	DONE	NEXT	0	[4 4]	0.45625000000000004	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175814.208406	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2007514643	3	0	133	DONE	NEXT	1	[4 4]	0.16874999999999996	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175814.304961	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	529348061	5	0	54	DONE	NEXT	1	[4 4]	0.6625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175814.405739	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1759346540	6	0	55	DONE	NEXT	1	[4 4]	0.65625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175814.468138	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3171327407	8	0	33	DONE	NEXT	1	[4 4]	0.79375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175814.840109	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	753574531	9	0	47	DONE	NEXT	0	[4 4]	0.70625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175815.093201	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	341168719	10	0	144	DONE	NEXT	0	[4 1]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175815.148099	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2579558832	12	0	29	DONE	NEXT	0	[4 4]	0.81875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175815.584480	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1697310524	14	0	144	DONE	NEXT	2	[1 2]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175815.678284	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1820278895	18	0	48	DONE	NEXT	1	[4 4]	0.7	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175816.080182	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	4134840656	21	0	111	DONE	NEXT	1	[4 4]	0.3062499999999999	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175816.145260	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2786970428	25	0	35	DONE	NEXT	0	[4 4]	0.78125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175816.281659	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1365066556	26	0	68	DONE	NEXT	0	[4 4]	0.575	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175816.819134	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1280708068	29	0	85	DONE	NEXT	0	[4 4]	0.46875	Discrete(7)	Dict(image:Box(7, 7, 3))
