timestamp	phase	worker	class_name	block	seed	task	sub_task	steps	termination_status	source	agent_dir	agent_pos	reward	action_space	observation_space
20200225T181144.074367	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	1661653804	2601	0	100	DONE	NEXT	0	[ 8 13]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181145.612754	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	3272673937	2603	0	100	DONE	NEXT	1	[ 4 12]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181145.788010	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2759654257	2605	0	35	DONE	NEXT	1	[7 4]	0.685	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181146.323961	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2951563737	2606	0	100	DONE	NEXT	0	[13  8]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181148.190616	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	3551934062	2608	0	100	DONE	NEXT	0	[11  8]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181148.892415	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2558824679	2610	0	100	DONE	NEXT	1	[ 4 12]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181150.803033	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2054962752	2612	0	100	DONE	NEXT	3	[8 6]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181151.252783	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2281221953	2614	0	100	DONE	NEXT	3	[4 8]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181151.324920	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	3891343971	2616	0	12	DONE	NEXT	0	[4 1]	0.892	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181153.444927	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	2835386987	2617	0	100	DONE	NEXT	1	[ 7 10]	0	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T181153.575711	3.train	env-1	minigridkit_minigridkit_minigridfourrooms	8	371088926	2619	0	15	DONE	NEXT	1	[1 5]	0.865	Discrete(7)	Dict(image:Box(7, 7, 3))
