block_num	regime_num	exp_num	status	timestamp	seed	source	agent_dir	task_name	sub_task	agent_pos	observation_space	reward	worker	steps	action_space
1	2	50	DONE	20200921T134018.249057	3969135104	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	132	Discrete(7)
1	2	51	DONE	20200921T134018.306056	2453375431	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	30	Discrete(7)
1	2	52	DONE	20200921T134018.863144	4090597503	NEXT	1	minigridkit_minigridkit_minigridlava1	0	[1 5]	Dict(image:Box(7, 7, 3))	0	env-0	252	Discrete(7)
1	2	53	DONE	20200921T134019.066139	1168940622	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 2]	Dict(image:Box(7, 7, 3))	0	env-0	135	Discrete(7)
1	2	54	DONE	20200921T134019.351243	1380801286	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	131	Discrete(7)
1	2	55	DONE	20200921T134019.463238	778204402	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	59	Discrete(7)
1	2	56	DONE	20200921T134019.826235	3328265702	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 2]	Dict(image:Box(7, 7, 3))	0	env-0	176	Discrete(7)
1	2	57	DONE	20200921T134019.845233	2980097978	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	4	Discrete(7)
1	2	58	DONE	20200921T134019.910232	2609152529	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	36	Discrete(7)
1	2	59	DONE	20200921T134019.939232	2657423989	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 2]	Dict(image:Box(7, 7, 3))	0	env-0	10	Discrete(7)
1	2	60	DONE	20200921T134020.158230	4202551204	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 2]	Dict(image:Box(7, 7, 3))	0	env-0	82	Discrete(7)
1	2	61	DONE	20200921T134020.192228	2271656282	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	16	Discrete(7)
1	2	62	DONE	20200921T134020.266232	361122953	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	43	Discrete(7)
1	2	63	DONE	20200921T134020.287227	2694178393	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	5	Discrete(7)
1	2	64	DONE	20200921T134020.342229	70407670	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 2]	Dict(image:Box(7, 7, 3))	0	env-0	32	Discrete(7)
1	2	65	DONE	20200921T134020.363227	4159301554	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	6	Discrete(7)
1	2	66	DONE	20200921T134020.772226	3207868488	NEXT	3	minigridkit_minigridkit_minigridlava1	0	[7 1]	Dict(image:Box(7, 7, 3))	0.1964285714285714	env-0	225	Discrete(7)
1	2	67	DONE	20200921T134020.807225	3834174464	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 2]	Dict(image:Box(7, 7, 3))	0	env-0	18	Discrete(7)
1	2	68	DONE	20200921T134021.297747	3258027716	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	217	Discrete(7)
1	2	69	DONE	20200921T134021.746742	2310547987	NEXT	1	minigridkit_minigridkit_minigridlava1	0	[4 5]	Dict(image:Box(7, 7, 3))	0	env-0	252	Discrete(7)
1	2	70	DONE	20200921T134021.810742	1949283126	NEXT	3	minigridkit_minigridkit_minigridlava1	0	[3 2]	Dict(image:Box(7, 7, 3))	0	env-0	38	Discrete(7)
1	2	71	DONE	20200921T134021.825741	3348819227	NEXT	0	minigridkit_minigridkit_minigridlava1	0	[3 1]	Dict(image:Box(7, 7, 3))	0	env-0	2	Discrete(7)
